1432520737 0 0 3928 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1432607660 0 0 4131 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1432826730 0 0 4461 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1435700523 0 0 5082 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1435709318 0 0 5082 0 0 0 0 0 66 0 0 0 0 0 0 0 0
1435715860 0 0 5082 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1435776807 0 0 5095 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1436392246 0 0 7248 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1437928997 0 0 628528 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1439698000 0 0 631181 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1439699214 0 0 631198 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1440707689 0 0 671257 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1440735981 0 0 671371 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1441777543 0 0 673702 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1441818607 0 0 673717 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1441832018 0 0 674629 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1441856257 0 0 674642 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1441908244 0 0 674648 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442009226 0 0 675277 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442030820 0 0 675278 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442106169 0 0 675322 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442203297 0 0 675597 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442203339 0 0 675599 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442203358 0 0 675600 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442203621 0 0 675611 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442203980 0 0 675611 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442543696 0 0 1018087 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442973570 0 0 1018107 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442973901 0 0 1018177 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1442976028 0 0 1018404 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1443031033 0 0 1018404 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1443032717 0 0 1426391 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1443033561 0 0 1825328 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1443037710 0 0 1825329 0 0 0 0 0 187 0 0 0 0 0 0 0 0
1443051562 0 0 1825329 2 0 0 0 0 187 0 0 0 0 0 0 0 0
1443058727 0 0 1825329 2 0 0 0 0 187 0 0 0 0 0 0 0 0
1443059469 0 0 1825336 2 0 0 0 0 187 0 0 0 0 0 0 0 0
1443064173 0 0 1825336 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443064512 0 0 1825337 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443141689 0 0 1825338 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443141856 0 0 1825349 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443146896 0 0 1825360 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443146961 0 0 1825409 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443151387 0 0 1825495 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443240526 0 0 1825507 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443330696 0 0 1825530 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443481730 0 0 1825846 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443482336 0 0 1825866 2 0 0 0 0 187 0 2 0 0 0 0 0 0
1443490594 0 0 1825866 26 0 0 0 0 187 0 2 0 0 0 0 0 0
1443491329 0 0 1825889 26 0 0 0 0 187 0 2 0 0 0 0 0 0
1443493241 0 0 1825889 26 0 0 0 0 187 0 2 0 0 0 0 0 0
1443498595 0 0 1825889 26 0 0 0 0 187 0 17 0 0 0 0 0 0
1443746039 0 0 1825907 26 0 0 0 0 187 0 17 0 0 0 0 0 0
1443746108 0 0 1825983 26 0 0 0 0 187 0 17 0 0 0 0 0 0
1443748445 0 0 1825986 26 0 0 0 0 187 0 17 0 0 0 0 0 0
1443753731 0 0 1825986 26 0 0 0 0 187 0 17 0 0 0 0 0 0
1443760711 0 0 1825986 111 0 0 0 0 187 0 17 0 0 0 0 0 0
1443761059 0 0 1825986 111 0 0 0 0 187 0 17 0 0 0 0 0 0
1443834963 0 0 1825987 111 0 0 0 0 187 0 17 0 0 0 0 0 0
1443836558 0 0 1825987 111 0 0 0 0 187 0 17 0 0 0 0 0 0
1443836602 0 0 1825987 111 0 0 0 0 187 0 17 0 0 0 0 0 0
1443930625 0 0 1825987 123 0 0 0 0 187 0 17 0 0 0 0 0 0
1443934639 0 0 1825987 134 0 0 0 0 187 0 17 0 0 0 0 0 0
1443935125 0 0 1825987 135 0 0 0 0 187 0 17 0 0 0 0 0 0
1443977797 0 0 1826029 135 0 0 0 0 187 0 17 0 0 0 0 0 0
1443978039 0 0 1826032 135 0 0 0 0 187 0 17 0 0 0 0 0 0
1443978185 0 0 1826035 135 0 0 0 0 187 0 17 0 0 0 0 0 0
1443978215 0 0 1826037 135 0 0 0 0 187 0 17 0 0 0 0 0 0
